UF,Estado,Latitude,Longitude
AC,Acre,-9.49865,-69.629581
AL,Alagoas,-9.521841,-36.039082
AM,Amazonas,-3.976318,-64.399382
AP,Amapá,2.406605,-51.428199
BA,Bahia,-12.197327,-40.191427
CE,Ceará,-4.354732,-39.712723
ES,Espírito Santo,-19.768337,-40.3565
GO,Goiás,-16.8529,-51105
MA,Maranhão,-4042,-45.107216
MG,Minas Gerais,-18.824095,-44.0345
MS,Mato Grosso do Sul,-20.616023,-55.095124
MT,Mato Grosso,-13.434091,-55.501919
PA,Pará,-4.239015,-52.218322
PB,Paraíba,-6.950165,-35.588089
PE,Pernambuco,-8.140122,-37.779227
PI,Piauí,-6.995318,-41.807852
PR,Paraná,-24.722653,-51.09548
RJ,Rio de Janeiro,-22.7641,-42.1726
RN,Rio Grande do Norte,-5.607038,-36.8261
RO,Rondônia,-11.474053,-62.226545
RR,Roraima,2.148823,-61.412437
RS,Rio Grande do Sul,-30.055067,-52.387882
SC,Santa Catarina,-27.257104,-49.879454
SE,Sergipe,-8.263146,-35.510823
SP,São Paulo,-22.763116,-47.9046
TO,Tocantins,-9.596869,-48.201864
DF,Distrito Federal,-15.858437,-47.596956
